feature,coefficient
review_count_log,0.160531605703512
kw_바퀴 의자,0.04623778822750117
rating,0.027248537560628706
kw_게이밍 의자,0.02053416628511825
kw_의자,-0.019630976955647656
has_review,-0.012911592834451271
tomorrow_delivery,0.012759909018536535
top_seller,0.011801475467159431
is_lowest_price,0.01012938015569797
title_kw_ratio,0.00483492306165258
today_ship,0.004240499985394814
official_store,0.003142513399931438
title_length,0.003067760652205463
free_return,0.0029547118762520224
brand_fame_log,0.002433586149868242
cat4_좌식의자,-0.0024022762128370046
category4_missing,0.0018063690305391135
free_delivery,0.000498870745655879
cat4_결측,0.00038444434085883005
