Model,Target,R2,RMSE,MAE,category
RF_Reg,rank_score,0.4833803213545922,0.20766428032987655,0.16595954236409025,의자
LGBM_Reg,rank_score,0.46956623903709305,0.21047037805212612,0.16252098132985138,의자
Ridge,rank_score,0.397829207098927,0.2242591461307736,0.18223817737605416,의자
Linear,rank_score,0.39777462884794984,0.22426871967396744,0.18221934354838307,의자
Lasso,rank_score,0.3640076126895029,0.2304688062761003,0.1911884526898872,의자
RF_Reg,rank_score(리뷰수제외),0.34953088515226977,0.23306454178938737,0.19022783991416595,의자
LGBM_Reg,rank_score(리뷰수제외),0.30764472784845154,0.24043039593952859,0.18976520782363354,의자
Ridge,rank_score(리뷰수제외),0.14741597453860372,0.2669362249766265,0.22481700255025228,의자
Linear,rank_score(리뷰수제외),0.1473847107800727,0.26694116028891923,0.22480459914115883,의자
Lasso,rank_score(리뷰수제외),0.12887452050019327,0.26982541323476433,0.2305984322569691,의자
