Model,Target,Precision,Recall,F1,ROC-AUC,AP,P@38,R@38,NDCG@38,category
RandomForest,top100,0.6403252065422544,0.568,0.6000736641756724,0.8785941644562334,0.6759373608517113,0.7894736842105263,0.30000000000000004,0.8292747980156939,키보드
LightGBM,top100,0.6644613115218988,0.616,0.6389399274208339,0.8762122015915119,0.6707122182454217,0.7842105263157895,0.298,0.7978731320300722,키보드
Logistic_L2,top100,0.45972749467560126,0.7520000000000001,0.569933502173072,0.8342944297082227,0.5630743618767378,0.6789473684210526,0.258,0.6938409386974461,키보드
RandomForest,top38(2단계),0.6769479405034324,0.5723790322580645,0.6130461123843476,0.7701602590545336,0.6700385330355879,0.5473684210526316,0.6625,0.7169428270322176,키보드
LightGBM,top38(2단계),0.6117323481116584,0.5919354838709677,0.5993722890762283,0.7713379241949234,0.6649859030724117,0.5684210526315789,0.6879032258064516,0.7316730084015481,키보드
Logistic_L2,top38(2단계),0.40129453006811494,0.6372983870967742,0.4915277224935196,0.6593619372714022,0.48042567574918615,0.42105263157894735,0.5096774193548387,0.531800372275921,키보드
LightGBM,"top38(2단계,리뷰수제외)",0.5922077922077922,0.5972413793103448,0.5904740173928161,0.789464765605125,0.6804259892384594,0.5421052631578946,0.6910344827586206,0.7261081876549058,키보드
RandomForest,"top38(2단계,리뷰수제외)",0.5806515837104073,0.5241379310344828,0.5465079242791108,0.7484038715048914,0.6532571410161776,0.4894736842105263,0.6243678160919541,0.6958300374532143,키보드
Logistic_L2,"top38(2단계,리뷰수제외)",0.3470136778115502,0.5905747126436781,0.4347744078876862,0.6075789449339717,0.40836186334487223,0.37894736842105264,0.4836781609195403,0.4521275348858188,키보드
LightGBM,top38(직접),0.5831911094048118,0.5631578947368421,0.5689340798590146,0.8959177556647884,0.6030563137987597,0.5684210526315789,0.5684210526315789,0.6541036688096927,키보드
RandomForest,top38(직접),0.5422303622303623,0.4578947368421053,0.49345512364347976,0.9131039443711785,0.5542029276042056,0.5157894736842105,0.5157894736842105,0.5872402145794826,키보드
Logistic_L2,top38(직접),0.23973481765078164,0.7842105263157895,0.3669080393290919,0.8607720896774967,0.3572569289107001,0.39999999999999997,0.39999999999999997,0.413858305146662,키보드
